Iteration,Algorithm,Resolution,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
81,DCT (Legacy),FHD,0.320999,1.0671,40.6809,12.8354,0.0538685
81,DCT (Legacy),FHD,0.321999,1.06963,42.0318,12.8285,0.0537652
81,DCT (Legacy),FHD,0.322999,1.06851,41.5608,12.8216,0.0536588
82,DCT (Legacy),FHD,0.323999,1.06726,41.284,12.8147,0.0535511
82,DCT (Legacy),FHD,0.324999,1.06902,41.5199,12.808,0.0534437
82,DCT (Legacy),FHD,0.325999,1.06784,41.0517,12.8014,0.0533382
82,DCT (Legacy),FHD,0.326999,1.06701,42.4795,12.7946,0.0532324
83,DCT (Legacy),FHD,0.327999,1.0671,41.799,12.7879,0.053129
83,DCT (Legacy),FHD,0.328999,1.08576,41.3452,12.7814,0.0530304
83,DCT (Legacy),FHD,0.329999,1.0705,41.0301,12.7747,0.0529251
83,DCT (Legacy),FHD,0.330999,1.08544,41.8949,12.7681,0.052827
84,DCT (Legacy),FHD,0.331999,1.08749,40.9273,12.7616,0.0527268
84,DCT (Legacy),FHD,0.332999,1.06874,41.7769,12.7552,0.0526266
84,DCT (Legacy),FHD,0.333999,1.06778,42.8929,12.7488,0.0525282
84,DCT (Legacy),FHD,0.334999,1.07229,42.8741,12.7423,0.0524333
85,DCT (Legacy),FHD,0.335999,1.06726,40.4968,12.7359,0.0523378
85,DCT (Legacy),FHD,0.336999,1.0679,41.1574,12.7297,0.0522431
85,DCT (Legacy),FHD,0.337999,1.06726,40.2565,12.7233,0.0521516
85,DCT (Legacy),FHD,0.338999,1.06826,40.3905,12.7171,0.0520585
86,DCT (Legacy),FHD,0.339999,1.07933,41.7392,12.7109,0.0519673
86,DCT (Legacy),FHD,0.340999,1.0681,41.5379,12.7047,0.0518731
86,DCT (Legacy),FHD,0.341999,1.0681,42.189,12.6985,0.0517819
86,DCT (Legacy),FHD,0.342999,1.06704,42.6941,12.6922,0.0516891
87,DCT (Legacy),FHD,0.343999,1.06704,42.161,12.6863,0.051598
87,DCT (Legacy),FHD,0.344999,1.06957,41.2837,12.6802,0.0515075
87,DCT (Legacy),FHD,0.345999,1.06678,44.3918,12.6741,0.0514173
